State,Year,Active Listing Count,Avg Listing Price
KY,2014,277043.0,196750.2136752137
LA,2014,215178.0,223982.23443223443
MA,2014,348981.0,570393.7445319335
MD,2014,370679.0,380288.2951653944
ME,2014,178352.0,291783.2638888889
MI,2014,743674.0,207561.4692653673
MN,2014,356065.0,267305.1908752328
MO,2014,470412.0,196145.6231454006
MS,2014,170155.0,192467.81842818428
MT,2014,108565.0,451404.25925925927
NC,2014,1062509.0,275321.373918829
ND,2014,20563.0,284305.55555555556
NE,2014,63220.0,210299.78354978355
NH,2014,168950.0,319435.99605522683
NJ,2014,783230.0,470829.5081967213
NM,2014,149570.0,313873.14814814815
NV,2014,229327.0,406813.35034013604
NY,2014,976869.0,504659.6356916579
OH,2014,777644.0,175871.42637091805
OK,2014,220360.0,192533.09925093633
OR,2014,254675.0,371566.44965277775
PA,2014,914530.0,245485.7831325301
RI,2014,71453.0,429414.73214285716
SC,2014,572445.0,273344.45736434107
SD,2014,40883.0,251308.55855855855
TN,2014,627289.0,243326.7142857143
TX,2014,1237771.0,293684.57122353785
UT,2014,208794.0,367435.3813559322
VA,2014,631153.0,356737.2884473878
VT,2014,94626.0,323836.1581920904
WA,2014,321680.0,400066.63860830525
WI,2014,523620.0,233676.26671689583
WV,2014,87453.0,203782.01320132014
WY,2014,42066.0,417295.9459459459
AK,2015,32011.0,325759.54198473284
AL,2015,406207.0,207732.32267037552
AR,2015,223085.0,197653.26086956522
AZ,2015,409830.0,335678.6150712831
CA,2015,1108698.0,790092.4339757316
CO,2015,308087.0,566931.0248447205
CT,2015,370551.0,529261.3636363636
DC,2015,14359.0,754745.1754385965
DE,2015,91641.0,316308.2077051926
FL,2015,1889746.0,385856.06744956336
GA,2015,950548.0,275070.22461124975
HI,2015,90042.0,1026254.0334855403
IA,2015,158621.0,198953.75
ID,2015,152109.0,344112.2463768116
IL,2015,779423.0,257546.792750197
IN,2015,408401.0,180466.6921703647
KS,2015,132071.0,215758.295194508
KY,2015,239962.0,207948.16865417376
LA,2015,195151.0,244213.6779505947
MA,2015,341247.0,586506.9978401728
